PriceGroup,WidthInches,HeightInches,Price
9,72,48,248.22
9,84,48,287.70
9,96,48,327.18
9,24,54,112.14
9,30,54,128.52
9,36,54,148.26
9,42,54,169.26
9,48,54,188.16
9,54,54,209.58
9,60,54,230.58
9,66,54,252.00
9,72,54,272.16
9,84,54,315.84
9,96,54,359.10
9,24,60,123.06
9,30,60,138.18
9,36,60,159.60
9,42,60,183.54
9,48,60,203.28
9,54,60,226.80
9,60,60,247.80
9,66,60,273.00
9,72,60,296.52
9,84,60,343.14
9,96,60,390.18
9,24,66,130.20
9,30,66,148.26
9,36,66,171.78
9,42,66,195.72
9,48,66,218.40
9,54,66,244.44
9,60,66,267.54
9,66,66,293.58
9,72,66,318.78
9,84,66,368.76
9,96,66,420.00
9,24,72,138.60
9,30,72,159.60
9,36,72,186.06
9,42,72,212.10
9,48,72,237.30
9,54,72,265.44
9,60,72,290.64
9,66,72,319.62
9,72,72,346.08
9,84,72,401.52
9,96,72,458.64
9,24,78,147.42
9,30,78,168.84
9,36,78,196.98
9,42,78,225.12
9,48,78,252.84
9,54,78,281.82
9,60,78,310.80
9,66,78,341.46
9,72,78,369.18
9,84,78,428.40
9,96,78,487.62
9,24,84,154.14
9,30,84,177.66
9,36,84,207.90
9,42,84,238.56
9,48,84,266.70
9,54,84,298.20
9,60,84,327.60
9,66,84,360.78
9,72,84,391.02
9,84,84,454.86
9,96,84,517.44
9,24,90,162.96
9,30,90,189.84
9,36,90,221.76
9,42,90,252.84
9,48,90,284.76
9,54,90,318.78
9,60,90,350.28
9,66,90,385.14
9,72,90,417.90
9,84,90,486.36
9,96,90,552.72
9,24,96,168.42
9,30,96,198.24
9,36,96,231.42
9,42,96,265.86
9,48,96,298.62
9,54,96,334.32
9,60,96,367.92
9,66,96,404.88
9,72,96,439.74
9,84,96,510.72
9,96,96,582.96
10,24,36,73.92
10,30,36,85.26
10,36,36,97.44
10,42,36,111.30
10,48,36,122.22
10,54,36,136.50
10,60,36,149.52
10,66,36,162.12
10,72,36,175.56
10,84,36,203.28
10,96,36,229.74
10,24,42,80.22
10,30,42,92.82
10,36,42,106.26
10,42,42,121.80
10,48,42,134.82
10,54,42,149.94
10,60,42,165.48
10,66,42,179.76
10,72,42,194.46
10,84,42,225.12
10,96,42,255.36
10,24,48,85.26
10,30,48,99.96
10,36,48,114.24
10,42,48,130.62
10,48,48,144.48
10,54,48,162.96
10,60,48,178.50
10,66,48,195.30
10,72,48,211.68
10,84,48,244.86
10,96,48,278.04
10,24,54,92.82
10,30,54,108.78
10,36,54,126.00
10,42,54,143.22
10,48,54,158.76
10,54,54,178.08
10,60,54,195.72
10,66,54,215.46
10,72,54,231.84
10,84,54,268.38
10,96,54,304.92
10,24,60,100.80
10,30,60,117.18
10,36,60,136.08
10,42,60,154.14
10,48,60,170.94
10,54,60,193.20
10,60,60,211.68
10,66,60,231.84
10,72,60,251.58
10,84,60,290.64
10,96,60,330.54
10,24,66,107.52
10,30,66,126.42
10,36,66,146.16
10,42,66,165.90
10,48,66,185.22
10,54,66,207.48
10,60,66,227.22
10,66,66,249.48
10,72,66,270.90
10,84,66,312.48
10,96,66,356.16
10,24,72,114.66
10,30,72,134.40
10,36,72,155.82
10,42,72,177.24
10,48,72,198.24
10,54,72,221.34
10,60,72,244.86
10,66,72,267.54
10,72,72,289.80
10,84,72,335.16
10,96,72,382.62
10,24,78,123.06
10,30,78,145.32
10,36,78,167.58
10,42,78,190.68
10,48,78,215.88
10,54,78,239.82
10,60,78,265.86
10,66,78,290.64
10,72,78,315.42
10,84,78,364.56
10,96,78,414.96
10,24,84,127.68
10,30,84,152.04
10,36,84,176.82
10,42,84,201.60
10,48,84,226.80
10,54,84,252.42
10,60,84,279.30
10,66,84,305.34
10,72,84,331.38
10,84,84,382.62
10,96,84,436.80
10,24,90,134.40
10,30,90,159.60
10,36,90,186.06
10,42,90,211.68
10,48,90,238.56
10,54,90,267.12
10,60,90,294.00
10,66,90,322.14
10,72,90,351.12
10,84,90,406.14
10,96,90,460.74
10,24,96,139.44
10,30,96,167.16
10,36,96,194.46
10,42,96,221.34
10,48,96,249.48
10,54,96,279.30
10,60,96,308.70
10,66,96,337.68
10,72,96,366.66
10,84,96,425.04
10,96,96,484.68
11,24,36,103.74
11,30,36,118.86
11,36,36,135.24
11,42,36,151.62
11,48,36,167.16
11,54,36,185.64
11,60,36,202.86
11,66,36,220.50
11,72,36,238.56
11,84,36,273.84
11,96,36,311.64
11,24,42,113.40
11,30,42,128.52
11,36,42,147.42
11,42,42,167.16
11,48,42,184.80
11,54,42,206.64
11,60,42,224.70
11,66,42,244.86
11,72,42,265.44
11,84,42,306.60
11,96,42,348.18
11,24,48,122.22
11,30,48,141.96
11,36,48,162.96
11,42,48,184.80
11,48,48,204.96
11,54,48,229.32
11,60,48,250.32
11,66,48,274.26
11,72,48,296.94
11,84,48,343.14
11,96,48,391.02
11,24,54,133.98
11,30,54,154.56
11,36,54,177.24
11,42,54,202.86
11,48,54,225.12
11,54,54,250.32
11,60,54,275.52
11,66,54,301.98
11,72,54,325.92
11,84,54,377.58
11,96,54,429.66
11,24,60,147.00
11,30,60,165.48
11,36,60,191.10
11,42,60,218.82
11,48,60,242.34
11,54,60,271.32
11,60,60,296.52
11,66,60,326.76
11,72,60,354.06
11,84,60,409.50
11,96,60,466.20
11,24,66,155.82
11,30,66,176.82
11,36,66,205.38
11,42,66,233.94
11,48,66,261.24
11,54,66,291.48
11,60,66,319.20
11,66,66,351.12
11,72,66,380.94
11,84,66,440.58
11,96,66,501.90
11,24,72,166.32
11,30,72,191.10
11,36,72,223.02
11,42,72,253.68
11,48,72,283.08
11,54,72,317.10
11,60,72,348.18
11,66,72,382.62
11,72,72,414.12
11,84,72,480.06
11,96,72,548.10
11,24,78,175.98
11,30,78,202.02
11,36,78,235.62
11,42,78,269.22
11,48,78,302.82
11,54,78,337.68
11,60,78,370.86
11,66,78,407.40
11,72,78,440.58
11,84,78,511.98
11,96,78,582.96
11,24,84,184.38
11,30,84,212.10
11,36,84,249.06
11,42,84,285.18
11,48,84,318.78
11,54,84,357.00
11,60,84,391.86
11,66,84,431.34
11,72,84,467.46
11,84,84,543.06
11,96,84,619.08
11,24,90,194.88
11,30,90,226.80
11,36,90,265.44
11,42,90,302.82
11,48,90,340.62
